project,actual,predicted
shufo/auto-assign-reviewer-by-files,"Code review,Continuous integration","Utilities,Project management"
slashmo/install-swift,"Continuous integration,Utilities","Code quality,Publishing"
kha7iq/pingme-action,"Reporting,Chat","Deployment,Utilities"
depot/setup-action,"Continuous integration,Container CI","Continuous integration,Utilities"
Xotabu4/send-to-allure-server-action,"Testing,Reporting","Chat,Reporting"
ibiqlik/action-yamllint,"Testing,Code quality","Code quality,Continuous integration"
DanielTamkin/HasLabel,"Open Source management,Utilities","Utilities,Project management"
joelwmale/webhook-action,"Monitoring,API management","Chat,Reporting"
wangchucheng/git-repo-sync,"Open Source management,Continuous integration","Utilities,Continuous integration"
JimCronqvist/action-ssh,"Continuous integration,Deployment","Deployment,Utilities"
aws-actions/aws-cloudformation-github-deploy,"Publishing,Deployment","Deployment,Continuous integration"
danielealbano/lcov-action,"Code review,Code quality","Code quality,Testing"
tlylt/install-graphviz,"Continuous integration,Utilities","Testing,Continuous integration"
potatoqualitee/azuright,"Testing,Utilities","Continuous integration,Testing"
uraimo/run-on-arch-action,"Continuous integration,Container CI","Continuous integration,Utilities"
apple-actions/import-codesign-certs,"Mobile CI,Mobile","Deployment,Publishing"
nf-core/setup-nextflow,"Continuous integration,Utilities","Continuous integration,Utilities"
crondaemon/close-pr,"Code review,Utilities","Utilities,Open Source management"
peter-evans/create-or-update-project-card,"Open Source management,Utilities","Utilities,Project management"
TreTuna/sync-branches,"Continuous integration,Deployment","Deployment,Utilities"
fudan-mse/latex-action,"Testing,Continuous integration","Continuous integration,Publishing"
DeLaGuardo/setup-clojure,"Continuous integration,Utilities","Continuous integration,Utilities"
JasonEtco/is-sponsor-label-action,"Open Source management,GitHub Sponsors","Utilities,Project management"
allenevans/set-env,Utilities,"Utilities,Deployment"
ffurrer2/extract-release-notes,"Publishing,Utilities","Utilities,Publishing"
at-wat/catkin-release-action,Deployment,"Utilities,Project management"
nerdyscout/kicad-exports,"Publishing,Utilities","Continuous integration,Code quality"
micnncim/action-label-syncer,"Open Source management,Utilities","Utilities,Project management"
firebelley/godot-export,"Publishing,Utilities","Continuous integration,Publishing"
ravinderjangra/android-ndk-toolchain-setup,"Mobile,Utilities","Dependency management,Continuous integration"
mansona/npm-lockfile-version,"Testing,Continuous integration","Continuous integration,Utilities"
varunsridharan/action-repository-meta,"Community,Utilities","Utilities,Publishing"
sarisia/actions-status-discord,"Reporting,Chat","Chat,Reporting"
thatisuday/go-cross-build,"Deployment,Utilities","Publishing,Dependency management"
crazy-max/ghaction-github-labeler,"Project management,Open Source management","Project management,Utilities"
golangci/golangci-lint-action,"Code quality,Continuous integration","Code quality,Code review"
pullpreview/action,"Code review,Continuous integration","Utilities,Deployment"
marvinpinto/action-automatic-releases,"Publishing,Deployment","Publishing,Utilities"
redhat-actions/podman-login,"Container CI,Utilities","Container CI,Deployment"
damccorm/tag-ur-it,"Project management,Open Source management","Project management,Code review"
peaceiris/actions-gh-pages,"Publishing,Deployment","Deployment,Publishing"
puneetmatharu/cmake-format-lint-action,"Code review,Code quality","Code quality,Continuous integration"
azure/webapps-deploy,"Continuous integration,Deployment","Deployment,Continuous integration"
whelk-io/maven-settings-xml-action,"Dependency management,Open Source management","Continuous integration,Utilities"
phoenix-actions/test-reporting,"Testing,Reporting","Testing,Reporting"
wbari/start-mongoDB,"Testing,Utilities","Continuous integration,Testing"
actions/setup-python,Utilities,"Dependency management,Continuous integration"
web3-storage/add-to-web3,"Deployment,Backup Utilities","Utilities,Continuous integration"
hbfernandes/slack-action,"Chat,API management","Chat,Reporting"
actions/go-dependency-submission,"Dependency management,Security","Dependency management,Code quality"
mschilde/auto-label-merge-conflicts,"Project management,Utilities","Open Source management,Utilities"
actions/upload-artifact,Utilities,"Utilities,Continuous integration"
m1ner79/Github-Twittction,"Chat,Publishing","Deployment,Publishing"
skx/github-action-publish-binaries,"Continuous integration,Deployment","Publishing,Deployment"
sbeyer/include-guards-check-action,"Code review,Code quality","Code quality,Code review"
seanmiddleditch/gha-setup-ninja,"Continuous integration,Utilities","Continuous integration,Utilities"
jpetrucciani/mypy-check,"Code quality,Continuous integration","Continuous integration,Code quality"
AthleticNet/comment-test-coverage,"Testing,Code quality","Testing,Code quality"
jwgmeligmeyling/spotbugs-github-action,"Security,Code quality","Continuous integration,Utilities"
reitermarkus/rerun-workflow,"Code review,Continuous integration","Project management,Utilities"
nick-zh/composer,"Dependency management,Continuous integration","Continuous integration,Dependency management"
dawidd6/action-publish-gem,"Publishing,Deployment","Publishing,Deployment"
eunchurn/action-publish,"Publishing,Continuous integration","Deployment,Utilities"
pozetroninc/github-action-get-latest-release,"Dependency management,Continuous integration","Container CI,Publishing"
humbletim/install-vulkan-sdk,"Dependency management,Utilities","Dependency management,Utilities"
lee-dohm/close-matching-issues,"Project management,Utilities","Utilities,Open Source management"
r0adkll/sign-android-release,"Mobile CI,Publishing","Deployment,Publishing"
actionshub/chef-install,"Dependency management,Continuous integration","Continuous integration,Code quality"
garygrossgarten/github-action-ssh,"Continuous integration,Utilities","Deployment,Utilities"
guite/zikula-action,"Testing,Continuous integration","Continuous integration,IDEs"
MirageNet/unity-runner,"Continuous integration,Desktop tools","Continuous integration,Utilities"
andresz1/size-limit-action,"Reporting,Monitoring","Utilities,Code review"
hpi-swa/setup-smalltalkCI,"Continuous integration,Deployment","Continuous integration,Utilities"
tim-actions/dco,"Code review,Continuous integration","Code review,Utilities"
StephaneBour/actions-php-security-checker,"Security,Code quality","Code quality,Code review"
appleboy/scp-action,"Continuous integration,Deployment","Deployment,Continuous integration"
nick-fields/assert-action,"Testing,Utilities","Utilities,Continuous integration"
py-actions/py-dependency-install,"Dependency management,Continuous integration","Dependency management,Code quality"
RichiCoder1/vault-action,"Security,Continuous integration","Deployment,Continuous integration"
Gottox/irc-message-action,"Chat,Continuous integration","Chat,Utilities"
ravsamhq/notify-slack-action,"Reporting,Chat","Chat,Continuous integration"
aws-actions/amazon-ecr-login,"Continuous integration,Deployment","Deployment,Container CI"
proudust/gh-describe,"Publishing,Utilities","Utilities,Code quality"
cycjimmy/semantic-release-action,"Publishing,Utilities","Deployment,Continuous integration"
de-vri-es/setup-git-credentials,"Dependency management,Security","Continuous integration,Deployment"
thomaseizinger/keep-a-changelog-new-release,"Publishing,Continuous integration","Continuous integration,Utilities"
gautamkrishnar/blog-post-workflow,"Publishing,Utilities","Publishing,Utilities"
cytopia/shell-command-retry-action,"Community,Continuous integration","Continuous integration,Container CI"
fennecdjay/gwion-action,"Continuous integration,Utilities","Continuous integration,Publishing"
appleboy/ssh-action,"Continuous integration,Deployment","Deployment,Publishing"
art049/mongodb-cluster-action,"Testing,Continuous integration","Container CI,Deployment"
chrnorm/deployment-action,"Continuous integration,Deployment","Deployment,Dependency management"
UnwrittenMedia/helm3-push-action,"Deployment,Container CI","Continuous integration,Deployment"
mateothegreat/action-release,"Deployment,Utilities","Publishing,Deployment"
varunsridharan/action-apigen,"Code search,Utilities","Continuous integration,Deployment"
stCarolas/setup-maven,Continuous integration,"Continuous integration,Utilities"
yi-Xu-0100/traffic-to-badge,"Monitoring,API management","Deployment,Utilities"
Klemensas/action-autotag,"Publishing,Deployment","Code quality,Publishing"
enriikke/gatsby-gh-pages-action,"Publishing,Continuous integration","Deployment,Publishing"
TrueBrain/actions-flake8,"Code review,Code quality","Code quality,Code review"
softprops/action-gh-release,"Publishing,Continuous integration","Publishing,Continuous integration"
wearerequired/lint-action,"Testing,Code quality","Code quality,Testing"
joncloud/makensis-action,"Deployment,Desktop tools","Continuous integration,Utilities"
ScottBrenner/cfn-lint-action,"Code quality,Continuous integration","Code quality,Code review"
everlytic/branch-merge,"Continuous integration,Utilities","Continuous integration,Deployment"
lukka/set-shell-env,Utilities,"Continuous integration,Utilities"
zyborg/dotnet-tests-report,"Testing,Reporting","Continuous integration,Testing"
lgeiger/black-action,"Code quality,Continuous integration","Code quality,Continuous integration"
sibiraj-s/action-archiver,"Deployment,Utilities","Deployment,Utilities"
