project,actual,predicted
oplik0/openPGP-action,"Security,Utilities","Deployment,Security"
Sniddl/discord-commits,"Chat,Project management","Chat,Utilities"
aws-actions/configure-aws-credentials,"Continuous integration,Deployment","Deployment,Continuous integration"
gi0baro/setup-poetry-bin,"Dependency management,Publishing","Dependency management,Publishing"
hadialqattan/relies-on,"Testing,Utilities","Utilities,Continuous integration"
saulmaldonado/skip-workflow,"Continuous integration,Container CI","Utilities,Continuous integration"
EndBug/add-and-commit,"Project management,Utilities","Utilities,Code quality"
negz/create-tag,"Publishing,Continuous integration","Publishing,Utilities"
at-wat/setup-gh-pr-comment,"Continuous integration,Utilities","Open Source management,Utilities"
magefile/mage-action,"Continuous integration,Utilities","Testing,Code quality"
technote-space/create-project-card-action,"Project management,Utilities","Project management,Utilities"
jazibjafri/issue-volunteer,"Community,Utilities","Utilities,Open Source management"
jsdaniell/create-json,"Continuous integration,Utilities","Deployment,Publishing"
oprypin/find-latest-tag,"Dependency management,Continuous integration","Utilities,Publishing"
mstksg/get-package,"Dependency management,Deployment","Testing,Publishing"
ros-tooling/setup-ros,"Continuous integration,Utilities","Container CI,Utilities"
ttionya/Repository-Sync-Hub,"Open Source management,Continuous integration","Utilities,Deployment"
vmactions/openbsd-vm,"Testing,Continuous integration","Testing,Continuous integration"
sebastianpopp/discord-action,"Chat,Utilities","Chat,Deployment"
NasAmin/trx-parser,"Testing,Continuous integration","Deployment,Utilities"
undergroundwires/bump-everywhere,"Open Source management,Continuous integration","Publishing,Utilities"
jacobtomlinson/gha-find-replace,"Continuous integration,Utilities","Utilities,Code quality"
tclindner/sentry-releases-action,"Continuous integration,Deployment","Publishing,Reporting"
hyperledger-tooling/github-contributors-action,"Community,Open Source management","Code quality,Publishing"
release-drafter/release-drafter,"Publishing,Deployment","Utilities,Project management"
morphy2k/revive-action,"Code quality,Utilities","Code quality,Code review"
jasongitmail/fast-webhook,"Deployment,Utilities","Chat,Reporting"
wow-actions/needs-more-info,"Support,Utilities","Utilities,Open Source management"
jenkey2011/vuepress-deploy,"Publishing,Deployment","Deployment,Publishing"
aochmann/actions-download-artifact,"Continuous integration,Deployment","Continuous integration,Utilities"
Azure/docker-login,"Continuous integration,Container CI","Deployment,Continuous integration"
tibdex/github-app-token,"Continuous integration,Utilities","Security,Deployment"
loopwerk/tag-changelog,"Publishing,Deployment","Publishing,Project management"
sibiraj-s/action-eslint,"Code quality,Continuous integration","Code quality,Code review"
jcs090218/setup-emacs,"Testing,Deployment","Continuous integration,Testing"
webfactory/ssh-agent,"Continuous integration,Utilities","Deployment,Continuous integration"
pypa/gh-action-pypi-publish,"Publishing,Deployment","Security,Dependency management"
elgohr/Publish-Docker-Github-Action,"Publishing,Container CI","Container CI,Publishing"
scacap/action-surefire-report,"Testing,Reporting","Testing,Continuous integration"
tj-actions/branch-names,"Continuous integration,Container CI","Utilities,Code review"
olafurpg/setup-scala,"Continuous integration,Utilities","Continuous integration,Utilities"
ishworkh/docker-image-artifact-upload,"Continuous integration,Utilities","Continuous integration,Container CI"
fnkr/github-action-ghr,"Continuous integration,Deployment","Publishing,Continuous integration"
ok-nick/setup-aftman,"Continuous integration,Utilities","Continuous integration,Utilities"
BSFishy/meson-build,Continuous integration,"Continuous integration,Chat"
CyberAndrii/setup-steamcmd,"Community,Utilities","Deployment,Continuous integration"
filipstefansson/uuid-action,"Deployment,Utilities","Continuous integration,Utilities"
benc-uk/workflow-dispatch,"Continuous integration,Deployment","Continuous integration,Utilities"
lots0logs/gh-action-get-changed-files,Utilities,"Continuous integration,Code review"
SvanBoxel/delete-merged-branch,"Project management,Utilities","Deployment,Utilities"
lucasvanmol/status-badges,"Community,Utilities","Utilities,Monitoring"
technote-space/toc-generator,"Publishing,Utilities","Utilities,Project management"
dotnet/nbgv,"Project management,Continuous integration","Utilities,Continuous integration"
expo/expo-github-action,"Deployment,Utilities","Deployment,Dependency management"
ldeluigi/markdown-docs,"Continuous integration,Utilities","Utilities,Continuous integration"
apache/skywalking-infra-e2e,"Testing,Container CI","Testing,Continuous integration"
dev-drprasad/delete-tag-and-release,"Publishing,Utilities","Utilities,Publishing"
JS-DevTools/npm-publish,"Publishing,Deployment","Deployment,Publishing"
fjogeleit/http-request-action,"Deployment,Utilities","Utilities,Deployment"
reviewdog/action-shellcheck,"Code review,Code quality","Code quality,Code review"
BetaHuhn/repo-file-sync-action,"Continuous integration,Utilities","Utilities,Deployment"
coverallsapp/github-action,"Code review,Code quality","Testing,Continuous integration"
peter-evans/close-issue,"Open Source management,Utilities","Open Source management,Utilities"
actions/stale,Utilities,"Utilities,Open Source management"
trilom/file-changes-action,"Code review,Utilities","Utilities,Continuous integration"
dessant/repo-lockdown,"Project management,Open Source management","Project management,Open Source management"
gacts/purge-jsdelivr-cache,"Publishing,Deployment","Continuous integration,Publishing"
preactjs/compressed-size-action,"Reporting,Code quality","Utilities,Code review"
azure/setup-helm,"Continuous integration,Container CI","Continuous integration,Deployment"
fregante/setup-git-user,"Publishing,Deployment","Utilities,Deployment"
shalzz/zola-deploy-action,"Publishing,Deployment","Deployment,Publishing"
lirantal/is-website-vulnerable,"Testing,Security","Deployment,Container CI"
montudor/action-zip,"Deployment,Utilities","Publishing,Utilities"
Niraj-Kamdar/manylinux-wheel-builder,"Publishing,Deployment","Continuous integration,Publishing"
Resnovas/label-mastermind,"Project management,Utilities","Continuous integration,Utilities"
zymap/bot,Utilities,"Utilities,Publishing"
fnkr/github-action-git-bash,Utilities,"Utilities,Deployment"
clupprich/ruby-build-action,Continuous integration,"Testing,Continuous integration"
isthatcentered/dist-to-ftp,"Continuous integration,Deployment","Deployment,Publishing"
uesteibar/reviewer-lottery,"Code review,Utilities","Project management,Code review"
YosysHQ/setup-oss-cad-suite,"Continuous integration,Container CI","Continuous integration,Publishing"
ReactiveCircus/android-emulator-runner,"Testing,Mobile CI","Continuous integration,Testing"
dschep/install-pipenv-action,"Dependency management,Continuous integration","Continuous integration,Dependency management"
danielTobon43/PCL-Build-Action,"Continuous integration,Container CI","Utilities,Continuous integration"
pCYSl5EDgo/create-unitypackage,"Continuous integration,Utilities","Deployment,Publishing"
