project,actual,predicted
excitedleigh/setup-nox,Continuous integration,"Continuous integration,Utilities"
ad-m/github-push-action,"Deployment,Utilities","Continuous integration,Utilities"
alex-page/blazing-fast-gh-pages-deploy,"Publishing,Deployment","Deployment,Publishing"
UnwrittenMedia/helm3-push-action,"Deployment,Container CI","Continuous integration,Deployment"
percy/exec-action,"Testing,Continuous integration","Continuous integration,Code quality"
treosh/lighthouse-ci-action,"Monitoring,Continuous integration","Monitoring,Continuous integration"
wow-actions/needs-more-info,"Support,Utilities","Utilities,Open Source management"
gradle/gradle-build-action,"Continuous integration,Utilities","Security,Continuous integration"
LoliGothick/rustfmt-check,"Code review,Code quality","Deployment,Dependency management"
Sibz/github-status-action,"Continuous integration,Utilities","Utilities,Continuous integration"
whoan/docker-build-with-cache-action,"Publishing,Container CI","Deployment,Container CI"
TimonVS/pr-labeler-action,"Project management,Utilities","Project management,Open Source management"
tj-actions/branch-names,"Continuous integration,Container CI","Utilities,Code review"
hexrabbit/whitespace-lint,"Code review,Utilities","Code review,Utilities"
actions/setup-python,Utilities,"Dependency management,Continuous integration"
geekyeggo/delete-artifact,Continuous integration,"Utilities,Deployment"
johanholmerin/mutation-report-action,"Testing,Continuous integration","Testing,Reporting"
AnandChowdhary/release-scheduler,"Dependency management,Continuous integration","Utilities,Publishing"
rzr/fediverse-action,"Community,Chat","Utilities,Deployment"
s0/git-publish-subdir-action,"Publishing,Deployment","Deployment,Publishing"
s4u/maven-settings-action,"Continuous integration,Utilities","Continuous integration,Dependency management"
QXIP/please-star-light,"Open Source management,Utilities","Project management,Open Source management"
redhat-actions/podman-login,"Container CI,Utilities","Container CI,Deployment"
hecrj/setup-rust-action,Continuous integration,"Continuous integration,Testing"
AEnterprise/rsync-deploy,Deployment,"Deployment,Publishing"
marocchino/sticky-pull-request-comment,"Code review,Continuous integration","Utilities,Open Source management"
narcodico/base64-to-path,"Continuous integration,Utilities","Utilities,IDEs"
codepunkt/npm-lockfile-changes,"Dependency management,Continuous integration","Code review,Dependency management"
RalfG/python-wheels-manylinux-build,"Publishing,Deployment","Continuous integration,Dependency management"
gleich/gh_fsync,"Project management,Utilities","Utilities,Continuous integration"
eregon/publish-release,"Publishing,Deployment","Publishing,Utilities"
fabriciobastian/download-release-asset-action,"Dependency management,Continuous integration","Publishing,Deployment"
conda-incubator/setup-miniconda,"Dependency management,Utilities","Continuous integration,Dependency management"
stefanzweifel/git-auto-commit-action,Utilities,"Utilities,Code quality"
Roang-zero1/github-create-release-action,"Publishing,Continuous integration","Publishing,Continuous integration"
reviewdog/action-misspell,"Code review,Code quality","Code quality,Code review"
matlab-actions/setup-matlab,"Continuous integration,Utilities","Continuous integration,Testing"
fossa-contrib/fossa-action,"Security,Continuous integration","Continuous integration,Deployment"
alexellis/upload-assets,"Continuous integration,Deployment","Publishing,Deployment"
wip/action,"Code review,Project management","Utilities,Project management"
VeryGoodOpenSource/very_good_coverage,"Testing,Code quality","Code quality,Testing"
easingthemes/ssh-deploy,"Continuous integration,Deployment","Deployment,Continuous integration"
sarisia/actions-status-discord,"Reporting,Chat","Chat,Reporting"
deep5050/cppcheck-action,"Code review,Code quality","Publishing,Deployment"
Klemensas/action-autotag,"Publishing,Deployment","Continuous integration,Publishing"
SonarSource/sonarcloud-github-action,"Security,Code quality","Code quality,Publishing"
virgilio21/openldap-action,"Testing,Utilities","Deployment,Continuous integration"
dessant/issue-states,"Project management,Utilities","Project management,Open Source management"
convictional/trigger-workflow-and-wait,"Code quality,Continuous integration","Continuous integration,Utilities"
jasongitmail/fast-webhook,"Deployment,Utilities","Chat,Reporting"
actions/upload-release-asset,"Publishing,Utilities","Publishing,Utilities"
nearform/github-action-notify-release,"Continuous integration,Deployment","Chat,Project management"
andrewmcodes/standardrb-action,"Code review,Code quality","Code quality,Code review"
jesusvasquez333/verify-pr-label-action,"Project management,Continuous integration","Project management,Utilities"
tclindner/sentry-releases-action,"Continuous integration,Deployment","Publishing,Reporting"
pr-annotators/mypy-pr-annotator,"Code review,Code quality","Continuous integration,Code quality"
cypress-io/github-action,"Testing,Continuous integration","Code review,Testing"
appleboy/scp-action,"Continuous integration,Deployment","Deployment,Continuous integration"
andymckay/pycodestyle-action,Code review,"Continuous integration,Utilities"
SchoofsKelvin/event-utilities,"Continuous integration,Utilities","Deployment,Publishing"
RafikFarhad/clang-format-github-action,"Code review,Code quality","Code quality,Code review"
thatisuday/go-cross-build,"Deployment,Utilities","Publishing,Dependency management"
andymckay/cancel-action,Utilities,"Continuous integration,Utilities"
ibiqlik/action-yamllint,"Testing,Code quality","Code quality,Continuous integration"
actionshub/chef-install,"Dependency management,Continuous integration","Continuous integration,Code quality"
digitalocean/action-doctl,"Deployment,Container CI","Container CI,Continuous integration"
ibakshay/greet-contributors-action,"Open Source management,Utilities","Utilities,Project management"
ReactiveCircus/android-emulator-runner,"Testing,Mobile CI","Continuous integration,Testing"
