project,actual,predicted
avinal/github-pages-deploy-action,"Publishing,Project management",Deployment
styfle/cancel-workflow-action,"Testing,Continuous integration",Utilities
actions/github-script,Utilities,Utilities
timfallmk/github-changelog-generator-action,"Publishing,Continuous integration",Publishing
einaregilsson/build-number,"Publishing,Continuous integration",Utilities
golangci/golangci-lint-action,"Code quality,Continuous integration",Code quality
superchargejs/redis-github-action,"Testing,Continuous integration",Utilities
vmactions/ngrok-tunnel,"Testing,Utilities",Continuous integration
fregante/setup-git-user,"Publishing,Deployment",Utilities
lirantal/is-website-vulnerable,"Testing,Security",Security
peaceiris/actions-hugo,"Publishing,Deployment",Publishing
codelytv/pr-size-labeler,"Code review,Utilities",Open Source management
Gottox/irc-message-action,"Chat,Continuous integration",Chat
reitermarkus/rerun-workflow,"Code review,Continuous integration",Project management
Sniddl/discord-commits,"Chat,Project management",Chat
s4u/maven-settings-action,"Continuous integration,Utilities",Continuous integration
Attest/annotations-action,"Code quality,Continuous integration",Code quality
ory/closed-reference-notifier,"Code review,Code search",Utilities
gleich/gh_fsync,"Project management,Utilities",Utilities
ShubhamTatvamasi/terraform-lint-action,"Code quality,Continuous integration",Code quality
dotnet/nbgv,"Project management,Continuous integration",Utilities
Andrew-Chen-Wang/github-wiki-action,"Publishing,Project management",Deployment
tiangolo/issue-manager,"Community,Open Source management",Utilities
two-pack/redmine-plugin-test-action,"Testing,Continuous integration",Continuous integration
art049/mongodb-cluster-action,"Testing,Continuous integration",Container CI
nick-fields/assert-action,"Testing,Utilities",Continuous integration
fylein/python-pylint-github-action,"Code review,Code quality",Code quality
patrickedqvist/wait-for-vercel-preview,"Continuous integration,Utilities",Deployment
MSP-Greg/setup-ruby-pkgs,Testing,Continuous integration
adamkdean/simple-slack-notify,"Reporting,Chat",Chat
shivammathur/cache-extensions,"Continuous integration,Utilities",Continuous integration
pullreminders/slack-action,"Chat,Continuous integration",Chat
lra/setup-kubeval,"Continuous integration,Utilities",Continuous integration
cycjimmy/semantic-release-action,"Publishing,Utilities",Publishing
TimonVS/pr-labeler-action,"Project management,Utilities",Open Source management
adapttive/algolia-docsearch-action,"Publishing,Continuous integration",Deployment
gradle-update/update-gradle-wrapper-action,"Dependency management,Utilities",Security
jwlawson/actions-setup-cmake,"Dependency management,Continuous integration",Continuous integration
wizhi/setup-buf,"Code quality,Continuous integration",Continuous integration
grassedge/git-pr-release-action,"Project management,Deployment",Utilities
anton-yurchenko/git-release,"Publishing,Continuous integration",Publishing
medyagh/setup-minikube,"Continuous integration,Container CI",Container CI
marvinpinto/action-automatic-releases,"Publishing,Deployment",Publishing
potiuk/cancel-workflow-runs,"Continuous integration,Utilities",Continuous integration
maxkomarychev/oction-create-issue,"API management,Utilities",Open Source management
darenm/Setup-VSTest,"Testing,Utilities",Continuous integration
benjlevesque/short-sha,"Continuous integration,Utilities",Utilities
vmactions/freebsd-vm,"Testing,Continuous integration",Continuous integration
overtrue/phplint,"Code review,Deployment",Utilities
StephaneBour/actions-php-security-checker,"Security,Code quality",Dependency management
tim-actions/dco,"Code review,Continuous integration",Code review
agentd00nut/jekyll-build-optional-deploy-gh-pages,"Publishing,Deployment",Deployment
sqren/backport-github-action,"Deployment,Utilities",Utilities
cirrus-actions/rebase,"Code review,Utilities",Utilities
hkusu/s3-upload-action,"Mobile CI,Continuous integration",Deployment
oke-py/npm-audit-action,"Dependency management,Security",Security
shogo82148/actions-setup-perl,"Continuous integration,Utilities",Continuous integration
zcong1993/setup-timezone,Utilities,Continuous integration
Yikun/hub-mirror-action,"Open Source management,Utilities",Utilities
innocarpe/actions-slack,"Chat,Continuous integration",Chat
jakejarvis/s3-sync-action,"Deployment,Utilities",Deployment
fusion-engineering/setup-git-credentials,"Dependency management,Security",Deployment
skx/github-action-publish-binaries,"Continuous integration,Deployment",Continuous integration
andreacomo/maven-gav-extractor,"Continuous integration,Utilities",Utilities
jiro4989/build-deb-action,"Testing,Continuous integration",Code quality
actions/first-interaction,Utilities,Open Source management
danielTobon43/PCL-Build-Action,"Continuous integration,Container CI",Continuous integration
hkusu/status-create-action,"Continuous integration,Utilities",Utilities
yi-Xu-0100/traffic-to-badge,"Monitoring,API management",Publishing
imranismail/setup-kustomize,"Deployment,Container CI",Continuous integration
goreleaser/goreleaser-action,"Continuous integration,Utilities",Publishing
browser-actions/setup-firefox,"Testing,Continuous integration",Continuous integration
Sibz/github-status-action,"Continuous integration,Utilities",Continuous integration
appleboy/ssh-action,"Continuous integration,Deployment",Deployment
JonasAlfredsson/docker-on-tmpfs,"Continuous integration,Utilities",Desktop tools
gi0baro/setup-poetry-bin,"Dependency management,Publishing",Dependency management
julia-actions/setup-julia,"Continuous integration,Utilities",Continuous integration
apache/skywalking-infra-e2e,"Testing,Container CI",Chat
juliangruber/read-file-action,Utilities,Utilities
reviewdog/action-eslint,"Code review,Code quality",Code quality
edgarrc/action-7z,"Deployment,Utilities",Continuous integration
peter-evans/link-checker,"Project management,Utilities",Utilities
crowdin/github-action,Localization,Continuous integration
lukka/run-vcpkg,"Dependency management,Continuous integration",Code review
szymansd/auto-release-notes,"Project management,Utilities",Utilities
danielealbano/lcov-action,"Code review,Code quality",Code quality
JasonEtco/is-sponsor-label-action,"Open Source management,GitHub Sponsors",Open Source management
maierj/fastlane-action,"Mobile CI,Mobile",Continuous integration
fregante/release-with-changelog,"Publishing,Utilities",Publishing
SchoofsKelvin/event-utilities,"Continuous integration,Utilities",Utilities
hpi-swa/setup-smalltalkCI,"Continuous integration,Deployment",Continuous integration
tferreira/matterfy,"Continuous integration,Deployment",Chat
peter-evans/create-or-update-project-card,"Open Source management,Utilities",Utilities
messense/maturin-action,"Deployment,Utilities",Deployment
