project,actual,predicted
zyborg/gh-action-buildnum,"Continuous integration,Utilities",Utilities
EmilienM/devstack-action,"Testing,Deployment",Deployment
mshick/add-pr-comment,"Code review,Utilities",Utilities
ihiroky/archive-action,"Continuous integration,Utilities",Publishing
ory/closed-reference-notifier,"Code review,Code search",Utilities
XAMPPRocky/deploy-mdbook,"Publishing,Deployment",Deployment
actions/download-artifact,Utilities,Continuous integration
yuezk/publish-obs-package,"Publishing,Deployment",Publishing
canastro/copy-file-action,Project management,Continuous integration
hmarr/debug-action,"Testing,Utilities",Utilities
nearform/github-action-notify-release,"Continuous integration,Deployment",Chat
peter-evans/rebase,"Open Source management,Utilities",Utilities
jwlawson/actions-setup-cmake,"Dependency management,Continuous integration",Continuous integration
pre-commit/action,"Testing,Code quality",Code quality
repo-sync/pull-request,"Project management,Open Source management",Project management
ok-nick/setup-aftman,"Continuous integration,Utilities",Continuous integration
filipstefansson/uuid-action,"Deployment,Utilities",Continuous integration
peter-evans/commit-comment,"Project management,Open Source management",Utilities
codfish/semantic-release-action,"Continuous integration,Deployment",Publishing
loopwerk/tag-changelog,"Publishing,Deployment",Publishing
innocarpe/actions-slack,"Chat,Continuous integration",Chat
einaregilsson/build-number,"Publishing,Continuous integration",Utilities
chrnorm/deployment-action,"Continuous integration,Deployment",Deployment
valadas/set-dnn-manifest-versions,Utilities,Utilities
fkirc/skip-duplicate-actions,"Testing,Continuous integration",Utilities
deadsnakes/action,"Testing,Continuous integration",Dependency management
ldeluigi/markdown-docs,"Continuous integration,Utilities",Open Source management
peter-evans/create-or-update-comment,"Open Source management,Utilities",Utilities
lando/code-sign-action,"Security,Deployment",Deployment
davidB/rust-cargo-make,"Continuous integration,Deployment",Dependency management
leonsteinhaeuser/project-beta-automations,"Project management,API management",Utilities
shogo82148/actions-goveralls,"Testing,Code quality",Testing
manusa/actions-publish-docker,"Publishing,Container CI",Publishing
act10ns/slack,"Chat,Continuous integration",Chat
azure/setup-helm,"Continuous integration,Container CI",Continuous integration
zzzze/webhook-trigger,"Reporting,Chat",Chat
chhpt/wechat-work-messenger,"Continuous integration,Utilities",Chat
varunsridharan/action-repository-meta,"Community,Utilities",Utilities
Resnovas/label-mastermind,"Project management,Utilities",Continuous integration
bruceadams/get-release,Publishing,Publishing
c-hive/gha-remove-artifacts,Utilities,Continuous integration
snickerbockers/submodules-init,"Dependency management,Utilities",Continuous integration
maxkomarychev/oction-create-issue,"API management,Utilities",Utilities
two-pack/redmine-plugin-test-action,"Testing,Continuous integration",Continuous integration
vmactions/solaris-vm,"Continuous integration,Utilities",Testing
nrwl/nx-set-shas,"Continuous integration,Utilities",Utilities
apple-actions/import-codesign-certs,"Mobile CI,Mobile",Continuous integration
tinovyatkin/action-php-codesniffer,"Code review,Code quality",Code quality
dessant/lock-threads,"Project management,Open Source management",Project management
hpi-swa/setup-smalltalkCI,"Continuous integration,Deployment",Continuous integration
clupprich/ruby-build-action,Continuous integration,Continuous integration
docker-practice/actions-setup-docker,Container CI,Continuous integration
paambaati/codeclimate-action,"Code review,Code quality",Code quality
thomaseizinger/create-pull-request,"Code review,Project management",Utilities
ShubhamTatvamasi/terraform-lint-action,"Code quality,Continuous integration",Code quality
apache/skywalking-infra-e2e,"Testing,Container CI",Testing
matlab-actions/setup-matlab,"Continuous integration,Utilities",Testing
snow-actions/eclint,"Code quality,Continuous integration",Code review
vedantmgoyal2009/winget-releaser,"Publishing,Deployment",Publishing
ludeeus/dockerfile-updater,"Dependency management,Continuous integration",Deployment
actions/setup-java,Utilities,Continuous integration
NasAmin/trx-parser,"Testing,Continuous integration",Testing
tianhaoz95/mirror-action,"Code review,Code quality",Utilities
golangci/golangci-lint-action,"Code quality,Continuous integration",Code quality
cclauss/GitHub-Action-for-pylint,"Code review,Code quality",Code quality
reitermarkus/automerge,"Code review,Project management",Code review
mujo-code/puppeteer-headful,"Testing,Reporting",Continuous integration
Jimver/cuda-toolkit,"Dependency management,Utilities",Continuous integration
jasongitmail/fast-webhook,"Deployment,Utilities",Monitoring
srvaroa/labeler,"Code review,Project management",Project management
icepuma/rust-action,"Continuous integration,Container CI",Continuous integration
djn24/add-asset-to-release,"Publishing,Deployment",Publishing
damccorm/tag-ur-it,"Project management,Open Source management",Project management
BSFishy/meson-build,Continuous integration,Continuous integration
cicirello/jacoco-badge-generator,"Testing,Utilities",Testing
actions/stale,Utilities,Utilities
ScottBrenner/cfn-lint-action,"Code quality,Continuous integration",Code quality
hashicorp/setup-terraform,"Deployment,Utilities",Dependency management
MishaKav/pytest-coverage-comment,"Testing,Reporting",Code quality
liri-infra/qmllint-action,"Code quality,Continuous integration",Code quality
willcaul/jest-github-action,"Testing,Continuous integration",Reporting
actionshub/markdownlint,"Code quality,Continuous integration",Continuous integration
nanasess/setup-php,Continuous integration,Continuous integration
juliangruber/read-file-action,Utilities,Utilities
joschi/setup-jdk,"Continuous integration,Utilities",Continuous integration
s0/git-publish-subdir-action,"Publishing,Deployment",Deployment
EndBug/version-check,"Publishing,Deployment",Utilities
jpmcb/prow-github-actions,"Project management,Continuous integration",Utilities
StephaneBour/actions-php-security-checker,"Security,Code quality",Code quality
JuliaRegistries/TagBot,Continuous integration,Utilities
fnkr/github-action-git-bash,Utilities,Deployment
maierj/fastlane-action,"Mobile CI,Mobile",Code quality
burrunan/gradle-cache-action,"Continuous integration,Utilities",Utilities
appleboy/scp-action,"Continuous integration,Deployment",Continuous integration
jstastny/publish-gem-to-github,"Publishing,Deployment",Publishing
actionshub/chef-delivery,"Code quality,Continuous integration",Continuous integration
derekprior/add-autoresponse,"Project management,Open Source management",Open Source management
wangchucheng/git-repo-sync,"Open Source management,Continuous integration",Continuous integration
dschep/install-pipenv-action,"Dependency management,Continuous integration",Dependency management
antifree/json-to-variables,"Deployment,Utilities",Utilities
andymckay/pycodestyle-action,Code review,Utilities
jsmrcaga/action-netlify-deploy,Deployment,Deployment
paulfantom/periodic-labeler,"Project management,Open Source management",Project management
technote-space/package-version-check-action,"Support,Utilities",Publishing
thomaseizinger/keep-a-changelog-new-release,"Publishing,Continuous integration",Utilities
redhat-plumbers-in-action/differential-shellcheck,"Testing,Code quality",Code quality
volta-cli/action,Utilities,Testing
Namchee/conventional-pr,"Project management,Open Source management",Utilities
kzrnm/get-net-sdk-project-versions-action,"Publishing,Utilities",Utilities
archive/github-actions-slack,"Chat,Utilities",Chat
technote-space/create-project-card-action,"Project management,Utilities",Project management
coverallsapp/github-action,"Code review,Code quality",Testing
tim-actions/get-pr-commits,"Code review,Utilities",Code review
MSP-Greg/setup-ruby-pkgs,Testing,Continuous integration
shogo82148/actions-setup-perl,"Continuous integration,Utilities",Utilities
jurplel/install-qt-action,"Dependency management,Continuous integration",Continuous integration
hadolint/hadolint-action,"Code quality,Container CI",Code quality
actions-cool/emoji-helper,"Open Source management,Utilities",Utilities
snow-actions/git-config-user,"Continuous integration,Utilities",Deployment
browser-actions/setup-geckodriver,"Testing,Continuous integration",Continuous integration
robinraju/release-downloader,"Continuous integration,Utilities",Utilities
