project,actual,predicted
KeisukeYamashita/create-comment,"Open Source management,Utilities",Utilities
Khan/pull-request-comment-trigger,"Code review,Deployment",Utilities
oxsecurity/megalinter,"Code quality,Continuous integration",Code quality
aws-actions/amazon-ecs-render-task-definition,"Continuous integration,Deployment",Deployment
undergroundwires/bump-everywhere,"Open Source management,Continuous integration",Publishing
sbeyer/include-guards-check-action,"Code review,Code quality",Code quality
alex-page/blazing-fast-gh-pages-deploy,"Publishing,Deployment",Deployment
larsoner/circleci-artifacts-redirector-action,"Continuous integration,Deployment",Continuous integration
cirrus-actions/rebase,"Code review,Utilities",Utilities
Andrew-Chen-Wang/github-wiki-action,"Publishing,Project management",Publishing
SonarSource/sonarcloud-github-action,"Security,Code quality",Code quality
aevea/release-notary,"Publishing,Continuous integration",Publishing
julia-actions/setup-julia,"Continuous integration,Utilities",Testing
sigstore/cosign-installer,"Security,Container CI",Container CI
TheBusyBiscuit/recently-closed-issues,"Community,API management",Utilities
cachix/cachix-action,"Testing,Continuous integration",Deployment
ewels/rich-codex,"Continuous integration,Utilities",Code quality
pCYSl5EDgo/create-unitypackage,"Continuous integration,Utilities",Deployment
reviewdog/action-hadolint,"Code review,Code quality",Code quality
gitopia/gitopia-mirror-action,"Open Source management,Utilities",Code quality
digitalocean/action-doctl,"Deployment,Container CI",Container CI
remorses/pypi,"Publishing,Deployment",Deployment
BSFishy/meson-build,Continuous integration,Continuous integration
getong/mariadb-action,"Continuous integration,Container CI",Testing
dschep/install-pipenv-action,"Dependency management,Continuous integration",Continuous integration
zyborg/gh-action-buildnum,"Continuous integration,Utilities",Utilities
andresz1/size-limit-action,"Reporting,Monitoring",Utilities
StephaneBour/actions-php-lint,"Code quality,Continuous integration",Code quality
satackey/action-docker-layer-caching,"Container CI,Utilities",Dependency management
peter-evans/enable-pull-request-automerge,"Project management,Continuous integration",Utilities
scacap/action-surefire-report,"Testing,Reporting",Testing
valadas/get-release-branch-version,Utilities,Publishing
joutvhu/get-release,"Continuous integration,Utilities",Publishing
shufo/auto-assign-reviewer-by-files,"Code review,Continuous integration",Utilities
rojopolis/envkey-action,"Deployment,Utilities",Continuous integration
StephaneBour/actions-php-security-checker,"Security,Code quality",Dependency management
meeDamian/github-release,"Publishing,Deployment",Continuous integration
miermontoto/waka-readme-stats,"Utilities,Time tracking",Security
invi5H/ssh-action,"Deployment,Utilities",Continuous integration
Niraj-Kamdar/manylinux-wheel-builder,"Publishing,Deployment",Publishing
technote-space/create-project-card-action,"Project management,Utilities",Project management
ravsamhq/notify-slack-action,"Reporting,Chat",Chat
sand4rt/ftp-deployer,"Publishing,Deployment",Deployment
Geertvdc/setup-hub,"Continuous integration,Utilities",Continuous integration
10up/action-wordpress-plugin-deploy,"Publishing,Deployment",Deployment
snok/latest-python-versions,"Continuous integration,Deployment",Continuous integration
Attest/annotations-action,"Code quality,Continuous integration",Deployment
Legion2/swagger-ui-action,"API management,Utilities",Publishing
Simek/yarn-lock-changes,"Dependency management,Code review",Utilities
QXIP/please-star-light,"Open Source management,Utilities",Utilities
nanasess/composer-installer-action,"Dependency management,Continuous integration",Dependency management
michaeljolley/aggregit,"Reporting,Monitoring",Publishing
getsentry/action-git-diff-suggestions,"Code review,Code quality",Code quality
peter-evans/find-comment,"Open Source management,Utilities",Utilities
chrnorm/deployment-action,"Continuous integration,Deployment",Deployment
jcs090218/setup-emacs,"Testing,Deployment",Continuous integration
wow-actions/use-app-token,"Security,Utilities",Utilities
mnao305/chrome-extension-upload,"Publishing,Deployment",Deployment
sobolevn/misspell-fixer-action,"Localization,Utilities",Utilities
yinlinchen/amplify-preview-actions,"Code review,Continuous integration",Deployment
ScottBrenner/generate-changelog-action,"Publishing,Utilities",Publishing
korelstar/phplint-problem-matcher,"Reporting,Code review",Code review
Difegue/action-megacmd,"Publishing,Deployment",Deployment
two-pack/redmine-plugin-test-action,"Testing,Continuous integration",Continuous integration
technote-space/auto-card-labeler,"Project management,Utilities",Project management
mattnotmitt/doxygen-action,"Continuous integration,Utilities",Continuous integration
matt-ball/newman-action,"Testing,API management",Continuous integration
ItsKarma/aws-cli,"Deployment,Utilities",Deployment
andrewmcodes/standardrb-action,"Code review,Code quality",Code quality
anishathalye/proof-html,"Testing,Continuous integration",Code quality
actions-cool/verify-files-modify,"Utilities,AI Assisted",Project management
goreleaser/goreleaser-action,"Continuous integration,Utilities",Continuous integration
NSCoder/rust-musl-action,"Code quality,Continuous integration",Continuous integration
Sniddl/discord-commits,"Chat,Project management",Chat
cardinalby/git-get-release-action,"Publishing,Utilities",Publishing
Gottox/irc-message-action,"Chat,Continuous integration",Chat
stefanbuck/github-issue-parser,"Open Source management,Utilities",Project management
SvanBoxel/delete-merged-branch,"Project management,Utilities",Utilities
reviewdog/action-golangci-lint,"Code review,Code quality",Code quality
joncloud/makensis-action,"Deployment,Desktop tools",Utilities
Roang-zero1/github-upload-release-artifacts-action,"Publishing,Continuous integration",Publishing
tibdex/github-app-token,"Continuous integration,Utilities",Deployment
ravinderjangra/android-ndk-toolchain-setup,"Mobile,Utilities",Utilities
gagoar/invoke-aws-lambda,"Continuous integration,Utilities",Deployment
everlytic/branch-merge,"Continuous integration,Utilities",Continuous integration
canonical/has-signed-canonical-cla,"Community,Utilities",Utilities
