project,actual,predicted
ludeeus/dockerfile-updater,"Dependency management,Continuous integration",Deployment
jfrog/setup-jfrog-cli,"Dependency management,Continuous integration",Continuous integration
sudo-bot/action-scrutinizer,"Reporting,Utilities",Container CI
conda-incubator/setup-miniconda,"Dependency management,Utilities",Dependency management
maxkomarychev/oction-create-issue,"API management,Utilities",Utilities
gleam-lang/setup-erlang,Continuous integration,Continuous integration
vmactions/freebsd-vm,"Testing,Continuous integration",Continuous integration
ShiftLeftSecurity/scan-action,"Security,Open Source management",Code quality
akosbalasko/coffee-readme,"Support,Utilities",Community
jaroldwong/ecr-push-and-ecs-deploy,Deployment,Deployment
saadmk11/changelog-ci,"Project management,Continuous integration",Utilities
cicirello/jacoco-badge-generator,"Testing,Utilities",Code quality
sbeyer/include-guards-check-action,"Code review,Code quality",Code quality
mtanzi/action-automerge,"Continuous integration,Deployment",Chat
thomaseizinger/keep-a-changelog-new-release,"Publishing,Continuous integration",Publishing
brpaz/hadolint-action,"Code quality,Container CI",Container CI
mhausenblas/mkdocs-deploy-gh-pages,"Publishing,Deployment",Deployment
samuelmeuli/action-maven-publish,"Publishing,Deployment",Continuous integration
potiuk/cancel-workflow-runs,"Continuous integration,Utilities",Continuous integration
battila7/get-version-action,"Continuous integration,Utilities",Continuous integration
dev-drprasad/delete-tag-and-release,"Publishing,Utilities",Publishing
ludeeus/setup-homeassistant,"Testing,Continuous integration",Continuous integration
alexellis/upload-assets,"Continuous integration,Deployment",Publishing
hbfernandes/slack-action,"Chat,API management",Chat
at-wat/bloom-release-action,Deployment,Continuous integration
andstor/jsdoc-action,"API management,Utilities",Deployment
percy/exec-action,"Testing,Continuous integration",Continuous integration
Gr1N/setup-poetry,"Dependency management,Continuous integration",Dependency management
reviewdog/action-hadolint,"Code review,Code quality",Code quality
frankdejonge/use-github-token,"Continuous integration,Deployment",Continuous integration
dessant/issue-states,"Project management,Utilities",Project management
humbletim/install-vulkan-sdk,"Dependency management,Utilities",Utilities
vmactions/ngrok-tunnel,"Testing,Utilities",Testing
actions-hub/docker,"Continuous integration,Utilities",Container CI
geekyeggo/delete-artifact,Continuous integration,Utilities
DerJuulsn/todo-issue,"Project management,Utilities",Project management
maxheld83/ghpages,"Publishing,Deployment",Deployment
shalzz/zola-deploy-action,"Publishing,Deployment",Deployment
jwgmeligmeyling/spotbugs-github-action,"Security,Code quality",Continuous integration
fjeremic/cron-first-interaction,"Open Source management,Utilities",Open Source management
JS-DevTools/npm-publish,"Publishing,Deployment",Publishing
eine/setup-msys2,"Continuous integration,Utilities",Continuous integration
cirrus-actions/rebase,"Code review,Utilities",Open Source management
oplik0/openPGP-action,"Security,Utilities",Deployment
mirromutth/mysql-action,"Continuous integration,Container CI",Continuous integration
ludeeus/action-shellcheck,"Code quality,Continuous integration",Code quality
MishaKav/pytest-coverage-comment,"Testing,Reporting",Code quality
actionshub/chef-delivery,"Code quality,Continuous integration",Continuous integration
karancode/yamllint-github-action,"Code quality,Continuous integration",Continuous integration
JamesSingleton/is-organization-member,"Community,Utilities",Community
at-wat/catkin-release-action,Deployment,Utilities
davidB/rust-cargo-make,"Continuous integration,Deployment",Continuous integration
imjohnbo/gh-polls-bot-action,"Open Source management,Utilities",Utilities
vitalyliber/dokku-github-action,Deployment,Deployment
shyim/junit-report-annotations-action,Utilities,Code quality
msimerson/node-lts-versions,"Testing,Continuous integration",Dependency management
sibiraj-s/action-eslint,"Code quality,Continuous integration",Code quality
Bullrich/generate-release-changelog,"Publishing,Utilities",Publishing
actions/setup-java,Utilities,Utilities
myci-actions/publish-nuget,"Continuous integration,Deployment",Utilities
valadas/set-dnn-manifest-versions,Utilities,Deployment
Atrox/codecov-action,"Testing,Code quality",Code quality
travisj/build-number-action,"Continuous integration,Utilities",Continuous integration
dorny/test-reporter,"Testing,Reporting",Testing
RichiCoder1/vault-action,"Security,Continuous integration",Deployment
TheBusyBiscuit/recently-closed-issues,"Community,API management",Project management
jerray/publish-docker-action,"Deployment,Container CI",Publishing
