project,actual,predicted
eunchurn/action-publish,"Publishing,Continuous integration",Publishing
fluttercandies/no-free-usage-action,"Community,Project management",Utilities
michaelw90/PHP-Lint,"Code quality,Continuous integration",Code review
jwalton/gh-find-current-pr,Utilities,Utilities
mavrosxristoforos/get-xml-info,"Code search,Utilities",Continuous integration
mateothegreat/action-release,"Deployment,Utilities",Publishing
andrewmcodes/standardrb-action,"Code review,Code quality",Code quality
codelytv/pr-size-labeler,"Code review,Utilities",Utilities
SchoofsKelvin/event-utilities,"Continuous integration,Utilities",Utilities
isthatcentered/dist-to-ftp,"Continuous integration,Deployment",Continuous integration
wip/action,"Code review,Project management",Continuous integration
joerick/pr-labels-action,"Continuous integration,Utilities",Open Source management
ewels/rich-codex,"Continuous integration,Utilities",Utilities
bruceadams/get-release,Publishing,Publishing
actions/upload-artifact,Utilities,Continuous integration
check-spelling/check-spelling,"Code review,Code quality",Code quality
pluralsh/setup-plural,"Open Source management,Deployment",Continuous integration
Difegue/action-megacmd,"Publishing,Deployment",Publishing
dawidd6/action-download-artifact,"Continuous integration,Deployment",Continuous integration
gitopia/gitopia-mirror-action,"Open Source management,Utilities",Deployment
crazy-max/ghaction-github-pages,"Publishing,Deployment",Deployment
edgarrc/action-7z,"Deployment,Utilities",Continuous integration
Chocobo1/setup-ccache-action,"Continuous integration,Utilities",Continuous integration
valadas/get-release-branch-version,Utilities,Continuous integration
tj-actions/changed-files,"Code review,Continuous integration",Code search
actions/setup-node,Utilities,Utilities
mikehardy/buildcache-action,"Continuous integration,Utilities",Continuous integration
wei/curl,"Continuous integration,Utilities",Utilities
phoenix-actions/test-reporting,"Testing,Reporting",Continuous integration
actionshub/chef-install,"Dependency management,Continuous integration",Continuous integration
urlstechie/urlchecker-action,"Monitoring,Continuous integration",Project management
kevinpainchaud/simple-ftp-deploy-action,Deployment,Deployment
aws-actions/amazon-ecs-deploy-task-definition,"Continuous integration,Deployment",Deployment
homoluctus/slatify,Chat,Chat
crondaemon/close-pr,"Code review,Utilities",Project management
julia-actions/setup-julia,"Continuous integration,Utilities",Continuous integration
turtlebrowser/get-conan,"Dependency management,Continuous integration",Utilities
BSFishy/meson-build,Continuous integration,Continuous integration
c2corg/browserslist-update-action,"Continuous integration,Utilities",Utilities
sibiraj-s/action-archiver,"Deployment,Utilities",Continuous integration
gleam-lang/setup-erlang,Continuous integration,Continuous integration
rojopolis/envkey-action,"Deployment,Utilities",Continuous integration
gaurav-nelson/github-action-markdown-link-check,"Testing,Continuous integration",Code quality
christian-draeger/read-properties,Utilities,Utilities
fudan-mse/latex-action,"Testing,Continuous integration",Publishing
lucacome/docker-image-update-checker,"Dependency management,Utilities",Code review
dawidd6/action-publish-gem,"Publishing,Deployment",Publishing
GuoJuna/sync-repo-action,"Deployment,Container CI",Deployment
docker/build-push-action,"Continuous integration,Container CI",Container CI
extractions/setup-just,"Dependency management,Utilities",Continuous integration
yuezk/publish-obs-package,"Publishing,Deployment",Deployment
DuckSoft/extract-7z-action,"Deployment,Utilities",Utilities
tianhaoz95/mirror-action,"Code review,Code quality",Open Source management
Sniddl/discord-commits,"Chat,Project management",Chat
anton-yurchenko/git-release,"Publishing,Continuous integration",Publishing
actions-cool/issues-similarity-analysis,"Open Source management,Utilities",Open Source management
andstor/file-existence-action,"Testing,Utilities",Utilities
wizhi/setup-buf,"Code quality,Continuous integration",Continuous integration
