project,actual,predicted
dev-drprasad/delete-tag-and-release,"Publishing,Utilities","Publishing,Deployment"
crondaemon/close-pr,"Code review,Utilities","Utilities,Project management"
jsdaniell/create-json,"Continuous integration,Utilities","Deployment,Publishing"
ShubhamTatvamasi/terraform-lint-action,"Code quality,Continuous integration","Code quality,Deployment"
whoan/docker-build-with-cache-action,"Publishing,Container CI","Continuous integration,Container CI"
peterjgrainger/action-create-branch,Utilities,"Utilities,Code review"
andymckay/pycodestyle-action,Code review,"Utilities,Continuous integration"
Ilshidur/action-slack,"Chat,Continuous integration","Chat,Reporting"
WyriHaximus/github-action-get-previous-tag,Continuous integration,"Utilities,Publishing"
garygrossgarten/github-action-ssh,"Continuous integration,Utilities","Deployment,Utilities"
r7kamura/redocly-problem-matchers,"Code review,Continuous integration","Code quality,Continuous integration"
humbletim/setup-vulkan-sdk,"Dependency management,Utilities","Continuous integration,Utilities"
jpetrucciani/black-check,"Code quality,Continuous integration","Code quality,Continuous integration"
8398a7/action-slack,"Chat,Continuous integration","Chat,Reporting"
gleich/gh_fsync,"Project management,Utilities","Continuous integration,Utilities"
tianhaoz95/mirror-action,"Code review,Code quality","Utilities,Open Source management"
vitalyliber/dokku-github-action,Deployment,"Continuous integration,Deployment"
Jimver/cuda-toolkit,"Dependency management,Utilities","Continuous integration,Deployment"
JS-DevTools/npm-publish,"Publishing,Deployment","Deployment,Publishing"
chrnorm/deployment-status,"Continuous integration,Deployment","Deployment,Dependency management"
manusa/actions-publish-docker,"Publishing,Container CI","Publishing,Continuous integration"
jiro4989/build-deb-action,"Testing,Continuous integration","Deployment,Utilities"
actions-cool/emoji-helper,"Open Source management,Utilities","Chat,Utilities"
EndBug/latest-tag,"Open Source management,Utilities","Publishing,Deployment"
gymshark/slack-notifier-action,"Monitoring,Utilities","Chat,Deployment"
QXIP/please-star-light,"Open Source management,Utilities","Project management,Utilities"
actions/github-script,Utilities,"Container CI,Utilities"
warrenbuckley/Setup-MSBuild,"Continuous integration,Utilities","IDEs,Continuous integration"
benjlevesque/short-sha,"Continuous integration,Utilities","Continuous integration,Utilities"
hugo19941994/delete-draft-releases,"Publishing,Utilities","Deployment,Continuous integration"
mislav/bump-homebrew-formula-action,"Publishing,Open Source management","Publishing,Dependency management"
korelstar/xmllint-problem-matcher,"Reporting,Code review","Code review,Reporting"
Khan/pull-request-workflow-cancel,"Code review,Continuous integration","Utilities,Continuous integration"
StephaneBour/actions-php-security-checker,"Security,Code quality","Code quality,Dependency management"
mstksg/setup-stack,"Dependency management,Deployment","Continuous integration,Utilities"
snok/container-retention-policy,"Continuous integration,Container CI","Continuous integration,Deployment"
Harmon758/postgresql-action,"Continuous integration,Container CI","Continuous integration,Utilities"
actions/setup-go,Utilities,"Code quality,Testing"
adapttive/algolia-docsearch-action,"Publishing,Continuous integration","Publishing,Deployment"
imciner2/run-lcov,"Code quality,Continuous integration","Code quality,Testing"
fossa-contrib/fossa-action,"Security,Continuous integration","Continuous integration,Deployment"
jstastny/publish-gem-to-github,"Publishing,Deployment","Publishing,Deployment"
sudo-bot/action-shellcheck,"Code review,Code quality","Continuous integration,Testing"
daneden/enable-automerge-action,"Dependency management,Utilities","Code review,Project management"
crazy-max/ghaction-github-labeler,"Project management,Open Source management","Open Source management,Utilities"
art049/mongodb-cluster-action,"Testing,Continuous integration","Continuous integration,Deployment"
actions-cool/verify-files-modify,"Utilities,AI Assisted","Project management,Open Source management"
matlab-actions/setup-matlab,"Continuous integration,Utilities","Testing,Reporting"
robotology/gh-action-nightly-merge,"Continuous integration,Utilities","Dependency management,Project management"
reviewdog/action-eslint,"Code review,Code quality","Code quality,Code review"
bruceadams/get-release,Publishing,"Publishing,Deployment"
mshick/add-pr-comment,"Code review,Utilities","Utilities,Open Source management"
s4u/maven-settings-action,"Continuous integration,Utilities","Continuous integration,Code quality"
nick-fields/assert-action,"Testing,Utilities","Continuous integration,Utilities"
vsoch/pull-request-action,"Publishing,Deployment","Utilities,Project management"
negz/create-tag,"Publishing,Continuous integration","Publishing,Deployment"
GuoJuna/sync-repo-action,"Deployment,Container CI","Publishing,Open Source management"
HarshCasper/validate-issues-over-pull-requests,"Community,Open Source management","Project management,Utilities"
skjnldsv/check-actor-permission,"Open Source management,Utilities","Open Source management,Utilities"
wasmerio/wapm-publish,"Dependency management,Deployment","Publishing,Deployment"
arma-actions/sqflint,Code quality,"Code quality,Continuous integration"
SvanBoxel/delete-merged-branch,"Project management,Utilities","Deployment,Continuous integration"
cypress-io/github-action,"Testing,Continuous integration","Code review,Testing"
coverallsapp/github-action,"Code review,Code quality","Testing,Continuous integration"
akosbalasko/coffee-readme,"Support,Utilities","Dependency management,Security"
eskatos/gradle-command-action,"Continuous integration,Utilities","Utilities,Continuous integration"
jwlawson/actions-setup-bazel,"Dependency management,Continuous integration","Continuous integration,Utilities"
azohra/shell-linter,"Code quality,Continuous integration","Code quality,Code review"
rectalogic/notify-irc,Chat,"Chat,Continuous integration"
xmake-io/github-action-setup-xmake,"IDEs,Utilities","Continuous integration,Deployment"
zzzze/webhook-trigger,"Reporting,Chat","Deployment,Chat"
skeet70/default-project-board-action,"Community,Project management","Utilities,Project management"
DerJuulsn/todo-issue,"Project management,Utilities","Project management,Code review"
ludeeus/action-shellcheck,"Code quality,Continuous integration","Continuous integration,Code quality"
Sibz/github-status-action,"Continuous integration,Utilities","Utilities,Continuous integration"
wangchucheng/git-repo-sync,"Open Source management,Continuous integration","Continuous integration,Deployment"
technote-space/package-version-check-action,"Support,Utilities","Publishing,Utilities"
amondnet/vercel-action,"Continuous integration,Deployment","Deployment,Publishing"
derekprior/add-autoresponse,"Project management,Open Source management","Project management,Utilities"
nolar/setup-k3d-k3s,"Continuous integration,Container CI","Container CI,Continuous integration"
zcong1993/setup-timezone,Utilities,"Continuous integration,Utilities"
