project,actual,predicted
at-wat/bloom-release-action,Deployment,"Publishing,Utilities"
Azure/docker-login,"Continuous integration,Container CI","Deployment,Continuous integration"
camptocamp/backport-action,"Continuous integration,Utilities","Deployment,Utilities"
technote-space/get-diff-action,Utilities,"Utilities,Code quality"
djn24/add-asset-to-release,"Publishing,Deployment","Deployment,Publishing"
mikefarah/yq,"Deployment,Utilities","Continuous integration,Utilities"
stCarolas/setup-maven,Continuous integration,"Continuous integration,Utilities"
mschilde/auto-label-merge-conflicts,"Project management,Utilities","Open Source management,Utilities"
actions/upload-artifact,Utilities,"Utilities,Continuous integration"
anton-yurchenko/git-release,"Publishing,Continuous integration","Publishing,Utilities"
anothrNick/github-tag-action,"Open Source management,Continuous integration","Utilities,Continuous integration"
hadolint/hadolint-action,"Code quality,Container CI","Utilities,Code quality"
luchihoratiu/debug-via-ssh,"Continuous integration,Utilities","Deployment,Continuous integration"
wagoid/commitlint-github-action,"Code review,Code quality","Code quality,Code review"
chrislennon/action-aws-cli,Utilities,"Deployment,Continuous integration"
michaeljolley/aggregit,"Reporting,Monitoring","Continuous integration,Publishing"
oplik0/openPGP-action,"Security,Utilities","Deployment,Continuous integration"
peter-evans/rebase,"Open Source management,Utilities","Utilities,Open Source management"
AthleticNet/comment-test-coverage,"Testing,Code quality","Code quality,Testing"
returntocorp/bento-action,"Code quality,Continuous integration","Deployment,Continuous integration"
cytopia/shell-command-retry-action,"Community,Continuous integration","Continuous integration,Container CI"
DanielTamkin/HasLabel,"Open Source management,Utilities","Utilities,Project management"
JJ/issue-greeting-action,"Community,Open Source management","Utilities,Open Source management"
art049/mongodb-cluster-action,"Testing,Continuous integration","Testing,Container CI"
fennecdjay/gwion-action,"Continuous integration,Utilities","Continuous integration,Deployment"
egorpugin/sw-action,"Dependency management,Project management","Publishing,Continuous integration"
korelstar/xmllint-problem-matcher,"Reporting,Code review","Code quality,Code review"
reitermarkus/rerun-workflow,"Code review,Continuous integration","Utilities,Continuous integration"
hmarr/auto-approve-action,"Code review,Utilities","Open Source management,Project management"
nanasess/setup-chromedriver,"Testing,Continuous integration","Continuous integration,Utilities"
narcodico/base64-to-path,"Continuous integration,Utilities","Mobile CI,Mobile"
WyriHaximus/github-action-get-previous-tag,Continuous integration,"Utilities,Continuous integration"
dessant/repo-lockdown,"Project management,Open Source management","Project management,Open Source management"
mikepenz/gradle-dependency-submission,"Dependency management,Security","Continuous integration,Utilities"
StephaneBour/actions-php-lint,"Code quality,Continuous integration","Code quality,Continuous integration"
frabert/replace-string-action,Utilities,"Utilities,Continuous integration"
TheBusyBiscuit/recently-closed-issues,"Community,API management","Project management,Utilities"
burrunan/gradle-cache-action,"Continuous integration,Utilities","Continuous integration,Security"
tinovyatkin/action-php-codesniffer,"Code review,Code quality","Code quality,Code review"
skx/github-action-publish-binaries,"Continuous integration,Deployment","Publishing,Deployment"
Khan/pull-request-workflow-cancel,"Code review,Continuous integration","Utilities,Continuous integration"
newrelic/repolinter-action,"Open Source management,Continuous integration","Utilities,Code quality"
thomaseizinger/set-crate-version,"Publishing,Utilities","Utilities,Continuous integration"
RalfG/python-wheels-manylinux-build,"Publishing,Deployment","Continuous integration,Deployment"
xresloader/upload-to-github-release,"Continuous integration,Deployment","Publishing,Deployment"
actions-cool/maintain-one-comment,"Utilities,AI Assisted","Utilities,Open Source management"
nanasess/composer-installer-action,"Dependency management,Continuous integration","Code quality,Dependency management"
peter-evans/close-pull,"Open Source management,Utilities","Utilities,Open Source management"
crazy-max/ghaction-chocolatey,"Deployment,Utilities","Publishing,Container CI"
GuoJuna/sync-repo-action,"Deployment,Container CI","Chat,Publishing"
wangchucheng/git-repo-sync,"Open Source management,Continuous integration","Continuous integration,Utilities"
karancode/yamllint-github-action,"Code quality,Continuous integration","Testing,Code quality"
joschi/setup-jdk,"Continuous integration,Utilities","Dependency management,Continuous integration"
Andrew-Chen-Wang/github-wiki-action,"Publishing,Project management","Deployment,Publishing"
SAP/project-piper-action,"Continuous integration,Deployment","Continuous integration,Utilities"
gradle/gradle-build-action,"Continuous integration,Utilities","Continuous integration,Utilities"
dessant/label-actions,"Project management,Utilities","Project management,Open Source management"
einaregilsson/build-number,"Publishing,Continuous integration","Utilities,Continuous integration"
canonical/has-signed-canonical-cla,"Community,Utilities","Utilities,Open Source management"
haythem/public-ip,"Security,Deployment","Deployment,Continuous integration"
rinx/setup-k3d,"Continuous integration,Container CI","Continuous integration,Container CI"
larsoner/circleci-artifacts-redirector-action,"Continuous integration,Deployment","Utilities,Continuous integration"
Yikun/hub-mirror-action,"Open Source management,Utilities","Publishing,Community"
gi0baro/setup-poetry-bin,"Dependency management,Publishing","Dependency management,Publishing"
up9cloud/action-rsync,"Publishing,Deployment","Deployment,Continuous integration"
lucasbento/auto-close-issues,"Support,Community","Open Source management,Project management"
peter-evans/autopep8,"Code quality,Utilities","Utilities,Open Source management"
hkusu/status-create-action,"Continuous integration,Utilities","Utilities,Continuous integration"
jidicula/clang-format-action,"Code review,Code quality","Code quality,Code review"
lauchacarro/Azure-Storage-Action,"Continuous integration,Deployment","Testing,Utilities"
actions-cool/issues-similarity-analysis,"Open Source management,Utilities","Utilities,Project management"
sobolevn/misspell-fixer-action,"Localization,Utilities","Utilities,Open Source management"
Deep-Symmetry/github-version-action,"Continuous integration,Deployment","Code quality,Code review"
lukka/run-vcpkg,"Dependency management,Continuous integration","Publishing,Code review"
MSP-Greg/setup-ruby-pkgs,Testing,"Continuous integration,Mobile"
jam1garner/contributors-only,"Support,Open Source management","Utilities,Open Source management"
appleboy/gh-pages-action,"Publishing,Deployment","Deployment,Publishing"
actionshub/chef-install,"Dependency management,Continuous integration","Code quality,Continuous integration"
RafikFarhad/clang-format-github-action,"Code review,Code quality","Code quality,Code review"
azohra/shell-linter,"Code quality,Continuous integration","Code quality,Code review"
dangoslen/changelog-enforcer,"Project management,Utilities","Project management,Code review"
act10ns/slack,"Chat,Continuous integration","Chat,Reporting"
gradle-update/update-gradle-wrapper-action,"Dependency management,Utilities","Utilities,Continuous integration"
Gr1N/setup-poetry,"Dependency management,Continuous integration","Dependency management,Publishing"
jcs090218/setup-emacs,"Testing,Deployment","Continuous integration,Testing"
actions/setup-java,Utilities,"Continuous integration,Utilities"
makaroni4/prcop,"Code review,Learning","Utilities,Open Source management"
joutvhu/get-release,"Continuous integration,Utilities","Publishing,Deployment"
hmarr/debug-action,"Testing,Utilities","Utilities,Continuous integration"
jpetrucciani/bandit-check,"Security,Continuous integration","Deployment,Publishing"
gautamkrishnar/blog-post-workflow,"Publishing,Utilities","Utilities,Deployment"
ridedott/merge-me-action,"Dependency management,Security","Utilities,Support"
tvrcgo/upload-to-oss,"Publishing,Utilities","Deployment,Continuous integration"
ravinderjangra/android-ndk-toolchain-setup,"Mobile,Utilities","Utilities,Continuous integration"
garygrossgarten/github-action-ssh,"Continuous integration,Utilities","Deployment,Continuous integration"
tj-actions/verify-changed-files,"Code search,Continuous integration","Code review,Continuous integration"
YosysHQ/setup-oss-cad-suite,"Continuous integration,Container CI","Continuous integration,Container CI"
hkusu/s3-upload-action,"Mobile CI,Continuous integration","Deployment,Continuous integration"
actions-cool/check-user-permission,"Open Source management,Utilities","Open Source management,Utilities"
MrLuje/vs-marketplace-publisher,"Publishing,Deployment","Utilities,Publishing"
andresz1/size-limit-action,"Reporting,Monitoring","Utilities,Code review"
virgilio21/openldap-action,"Testing,Utilities","Deployment,Open Source management"
technote-space/assign-author,"Project management,Utilities","Project management,Utilities"
peter-evans/create-or-update-project-card,"Open Source management,Utilities","Utilities,Open Source management"
bruceadams/get-release,Publishing,"Publishing,Deployment"
heinrichreimer/action-github-changelog-generator,"Publishing,Continuous integration","Publishing,Project management"
lots0logs/gh-action-get-changed-files,Utilities,"Continuous integration,Code review"
browser-actions/setup-firefox,"Testing,Continuous integration","Utilities,Testing"
snow-actions/git-config-user,"Continuous integration,Utilities","Deployment,Continuous integration"
technote-space/auto-card-labeler,"Project management,Utilities","Project management,Utilities"
rojopolis/envkey-action,"Deployment,Utilities","Continuous integration,Deployment"
perl-actions/install-with-cpanm,"Continuous integration,Utilities","Continuous integration,Utilities"
codespell-project/codespell-problem-matcher,"Code review,Continuous integration","Code quality,Reporting"
EndBug/add-and-commit,"Project management,Utilities","Utilities,Code quality"
ZanderZhao/gitbook-action,"Deployment,Container CI","Deployment,Utilities"
Logerfo/triage-action,"Project management,Utilities","Project management,Utilities"
korelstar/phplint-problem-matcher,"Reporting,Code review","Code quality,Code review"
morphy2k/revive-action,"Code quality,Utilities","Code quality,Continuous integration"
actions/setup-python,Utilities,"Dependency management,Code quality"
StephaneBour/actions-php-cpd,"Code review,Code quality","Continuous integration,Utilities"
samuelmeuli/action-snapcraft,"Dependency management,Publishing","Continuous integration,Code quality"
redhat-plumbers-in-action/differential-shellcheck,"Testing,Code quality","Code quality,Code review"
Atrox/codecov-action,"Testing,Code quality","Code quality,Code review"
uraimo/run-on-arch-action,"Continuous integration,Container CI","Continuous integration,Testing"
kdheepak/panvimdoc,"Continuous integration,Deployment","Publishing,Code quality"
fabiocaccamo/create-matrix-action,"Testing,Continuous integration","Continuous integration,Dependency management"
cirrus-actions/rebase,"Code review,Utilities","Utilities,Open Source management"
ammaraskar/msvc-problem-matcher,"Reporting,Code quality","Continuous integration,Code quality"
whoan/docker-build-with-cache-action,"Publishing,Container CI","Container CI,Continuous integration"
nick-zh/composer,"Dependency management,Continuous integration","Utilities,Continuous integration"
depot/setup-action,"Continuous integration,Container CI","Continuous integration,Utilities"
convictional/trigger-workflow-and-wait,"Code quality,Continuous integration","Continuous integration,Utilities"
lovasoa/setup-emscripten,"Testing,Continuous integration","Continuous integration,Utilities"
liri-infra/qmllint-action,"Code quality,Continuous integration","Code quality,Project management"
peter-evans/create-pull-request,"Project management,Utilities","Project management,Open Source management"
vmactions/openbsd-vm,"Testing,Continuous integration","Testing,Continuous integration"
jetli/wasm-pack-action,"Continuous integration,Deployment","Continuous integration,Deployment"
adapttive/algolia-docsearch-action,"Publishing,Continuous integration","Publishing,Deployment"
tclindner/sentry-releases-action,"Continuous integration,Deployment","Publishing,Reporting"
at-wat/catkin-release-action,Deployment,"Utilities,Project management"
actions-automation/pull-request-responsibility,"Code review,Project management","Project management,Code review"
dorny/test-reporter,"Testing,Reporting","Testing,Reporting"
yuichielectric/dive-action,"Continuous integration,Container CI","Continuous integration,Code quality"
wemake-services/wemake-python-styleguide,"Code review,Code quality","Code quality,Monitoring"
pdm-project/setup-pdm,"Dependency management,Utilities","Code quality,Dependency management"
snickerbockers/submodules-init,"Dependency management,Utilities","Continuous integration,Testing"
browser-actions/setup-geckodriver,"Testing,Continuous integration","Dependency management,Publishing"
gr2m/create-or-update-pull-request-action,Utilities,"Utilities,Open Source management"
actions-rs/toolchain,"Dependency management,Open Source management","Deployment,Dependency management"
MeilCli/danger-action,"Code review,Code quality","Continuous integration,Testing"
jakejarvis/wait-action,"Continuous integration,Utilities","Continuous integration,Utilities"
msimerson/node-lts-versions,"Testing,Continuous integration","Testing,Utilities"
ory/closed-reference-notifier,"Code review,Code search","Utilities,Project management"
humbletim/install-vulkan-sdk,"Dependency management,Utilities","Dependency management,Utilities"
elgohr/Publish-Docker-Github-Action,"Publishing,Container CI","Container CI,Publishing"
lucasvanmol/status-badges,"Community,Utilities","Utilities,Monitoring"
r7kamura/redocly-problem-matchers,"Code review,Continuous integration","Continuous integration,Code quality"
EndBug/label-sync,"Open Source management,Utilities","Open Source management,Utilities"
lucacome/docker-image-update-checker,"Dependency management,Utilities","Container CI,Continuous integration"
gitleaks/gitleaks-action,"Security,Code search","Publishing,Code review"
MirageNet/unity-runner,"Continuous integration,Desktop tools","Continuous integration,Utilities"
rzr/fediverse-action,"Community,Chat","Utilities,Deployment"
actionshub/yamllint,"Code quality,Continuous integration","Code quality,Testing"
pxgamer/composer-action,Dependency management,"Code quality,Utilities"
Justintime50/homebrew-releaser,"Dependency management,Publishing","Open Source management,Publishing"
rtCamp/action-slack-notify,"Reporting,Chat","Chat,Reporting"
pozetroninc/github-action-get-latest-release,"Dependency management,Continuous integration","Container CI,Publishing"
TreTuna/sync-branches,"Continuous integration,Deployment","Deployment,Utilities"
undergroundwires/bump-everywhere,"Open Source management,Continuous integration","Utilities,Publishing"
firebelley/godot-export,"Publishing,Utilities","Publishing,Continuous integration"
Simek/yarn-lock-changes,"Dependency management,Code review","Project management,Code review"
reviewdog/action-golangci-lint,"Code review,Code quality","Code quality,Code review"
subosito/flutter-action,"Continuous integration,Utilities","Chat,Publishing"
lgeiger/black-action,"Code quality,Continuous integration","Code quality,Continuous integration"
CamiloGarciaLaRotta/watermelon-http-client,"API management,Utilities","Utilities,Deployment"
snok/container-retention-policy,"Continuous integration,Container CI","Publishing,Utilities"
mhausenblas/mkdocs-deploy-gh-pages,"Publishing,Deployment","Deployment,Publishing"
brunoborges/justextract,"Deployment,Utilities","Deployment,Utilities"
mansona/npm-lockfile-version,"Testing,Continuous integration","Continuous integration,Dependency management"
deadsnakes/action,"Testing,Continuous integration","Continuous integration,Code quality"
antifree/json-to-variables,"Deployment,Utilities","Utilities,Testing"
PostHog/check-package-version,"Publishing,Deployment","Utilities,Publishing"
julia-actions/setup-julia,"Continuous integration,Utilities","Continuous integration,Testing"
elgohr/Github-Release-Action,"Publishing,Continuous integration","Publishing,Deployment"
google-github-actions/get-gke-credentials,"Security,Deployment","Container CI,Deployment"
jiro4989/build-deb-action,"Testing,Continuous integration","Deployment,Utilities"
influxdata/influxdb-action,"Continuous integration,Utilities","Code quality,Utilities"
jpetrucciani/black-check,"Code quality,Continuous integration","Code quality,Utilities"
lemonarc/jekyll-action,"Continuous integration,Deployment","Deployment,Continuous integration"
enriikke/gatsby-gh-pages-action,"Publishing,Continuous integration","Publishing,Deployment"
fastify/github-action-merge-dependabot,"Dependency management,Open Source management","Continuous integration,Project management"
dawidd6/action-get-tag,"Publishing,Utilities","Publishing,Utilities"
franzbischoff/replace_envs,"Deployment,Utilities","Utilities,Publishing"
hashicorp/setup-terraform,"Deployment,Utilities","Utilities,Code quality"
mfinelli/setup-imagemagick,"Dependency management,Utilities","Testing,Continuous integration"
Sniddl/discord-commits,"Chat,Project management","Chat,Open Source management"
Dirrk/action-docs,"Project management,Utilities","Utilities,Continuous integration"
rbialon/flake8-annotations,"Code review,Code quality","Code quality,Dependency management"
puneetmatharu/cmake-format-lint-action,"Code review,Code quality","Continuous integration,Code quality"
