project,actual,predicted
ciiiii/toml-editor,"Deployment,Utilities","Deployment,Utilities"
mislav/bump-homebrew-formula-action,"Publishing,Open Source management","Utilities,Publishing"
theleagueof/fontship,"Publishing,Continuous integration","Continuous integration,Publishing"
m1ner79/Github-Twittction,"Chat,Publishing","Deployment,Publishing"
SchoofsKelvin/event-utilities,"Continuous integration,Utilities","Deployment,Publishing"
codespell-project/sort-problem-matcher,"Code review,Continuous integration","Code review,Reporting"
c-hive/gha-remove-artifacts,Utilities,"Publishing,Container CI"
reitermarkus/rerun-workflow,"Code review,Continuous integration","Project management,Utilities"
tferreira/matterfy,"Continuous integration,Deployment","Chat,Reporting"
musichin/ktlint-check,"Code review,Code quality","Code quality,Publishing"
DamianReeves/write-file-action,"Utilities,Desktop tools","Utilities,Continuous integration"
antifree/json-to-variables,"Deployment,Utilities","Utilities,Testing"
leafo/gh-actions-luarocks,"Continuous integration,Utilities","Utilities,Continuous integration"
erclu/check-crlf,"Support,Utilities","Continuous integration,Utilities"
azure/setup-helm,"Continuous integration,Container CI","Continuous integration,Deployment"
actions-cool/issues-helper,"Utilities,AI Assisted","Utilities,Open Source management"
potiuk/cancel-workflow-runs,"Continuous integration,Utilities","Continuous integration,Utilities"
nuuday/github-changelog-action,"Publishing,Continuous integration","Deployment,Publishing"
GabrielBB/xvfb-action,"Testing,Desktop tools","Testing,Continuous integration"
masa-iwasaki/setup-rbenv,"Testing,Continuous integration","Continuous integration,Dependency management"
sersoft-gmbh/xcodebuild-action,"Testing,Continuous integration","Deployment,Container CI"
meeDamian/github-release,"Publishing,Deployment","Continuous integration,Publishing"
andrewmcodes-archive/rubocop-linter-action,"Code review,Code quality","Code quality,Code review"
influxdata/influxdb-action,"Continuous integration,Utilities","Code quality,Continuous integration"
cclauss/GitHub-Action-for-pylint,"Code review,Code quality","Code quality,Code review"
Actions-R-Us/actions-tagger,"Publishing,Project management","Publishing,Deployment"
hasura/comment-progress,"Reporting,Utilities","Utilities,Continuous integration"
julia-actions/setup-julia,"Continuous integration,Utilities","Continuous integration,Testing"
juankaram/sentry-release,"Code quality,Deployment","Continuous integration,Deployment"
superbrothers/close-pull-request,Utilities,"Project management,Utilities"
isthatcentered/dist-to-ftp,"Continuous integration,Deployment","Deployment,Publishing"
