project,actual,predicted
flowwer-dev/pull-request-stats,"Code review,Project management","Utilities,Code review"
repo-sync/pull-request,"Project management,Open Source management","Utilities,Project management"
pozil/auto-assign-issue,"Support,Utilities","Project management,Utilities"
art049/mongodb-cluster-action,"Testing,Continuous integration","Container CI,Continuous integration"
humbletim/install-vulkan-sdk,"Dependency management,Utilities","Dependency management,Utilities"
isthatcentered/dist-to-ftp,"Continuous integration,Deployment","Deployment,Publishing"
uraimo/run-on-arch-action,"Continuous integration,Container CI","Continuous integration,Testing"
Ilshidur/action-slack,"Chat,Continuous integration","Chat,Reporting"
kevinpainchaud/simple-ftp-deploy-action,Deployment,"Deployment,Publishing"
browser-actions/setup-firefox,"Testing,Continuous integration","Continuous integration,Testing"
wemake-services/dotenv-linter,"Code review,Code quality","Code quality,Code review"
MarceloPrado/has-changed-path,"Continuous integration,Utilities","Continuous integration,Deployment"
andreacomo/maven-gav-extractor,"Continuous integration,Utilities","Utilities,Continuous integration"
dangoslen/changelog-enforcer,"Project management,Utilities","Publishing,Continuous integration"
limitusus/json-syntax-check,"Testing,Code review","Code quality,Code review"
dropseed/changerelease,"Publishing,Project management","Continuous integration,Publishing"
kha7iq/pingme-action,"Reporting,Chat","Chat,Publishing"
ttionya/Repository-Sync-Hub,"Open Source management,Continuous integration","Continuous integration,Deployment"
jpetrucciani/mypy-check,"Code quality,Continuous integration","Continuous integration,Code quality"
YosysHQ/setup-oss-cad-suite,"Continuous integration,Container CI","Continuous integration,Dependency management"
nick-fields/private-action-loader,"Continuous integration,Utilities","Utilities,Testing"
hugo19941994/delete-draft-releases,"Publishing,Utilities","Publishing,Utilities"
estroz/rerun-actions,"Continuous integration,Utilities","Utilities,Code review"
peter-evans/close-issue,"Open Source management,Utilities","Open Source management,Utilities"
ravinderjangra/android-ndk-toolchain-setup,"Mobile,Utilities","Dependency management,Testing"
tinovyatkin/action-php-codesniffer,"Code review,Code quality","Continuous integration,Code quality"
ScottBrenner/generate-changelog-action,"Publishing,Utilities","Publishing,Utilities"
joutvhu/get-release,"Continuous integration,Utilities","Publishing,Deployment"
at-wat/bloom-release-action,Deployment,"Publishing,Continuous integration"
linhbn123/rebase-pull-requests,"Open Source management,Utilities","Utilities,Open Source management"
leonsteinhaeuser/project-beta-automations,"Project management,API management","Utilities,Project management"
crazy-max/ghaction-docker-buildx,"Continuous integration,Container CI","Container CI,Code Scanning Ready"
giboow/action-aws-cli,"API management,Utilities","Deployment,Continuous integration"
sqren/backport-github-action,"Deployment,Utilities","Utilities,Project management"
bloodf/github-deploy-action,"Dependency management,Deployment","Deployment,Publishing"
camptocamp/backport-action,"Continuous integration,Utilities","Project management,Open Source management"
DamianReeves/write-file-action,"Utilities,Desktop tools","Utilities,Deployment"
EndBug/label-sync,"Open Source management,Utilities","Utilities,Open Source management"
actions/upload-artifact,Utilities,"Continuous integration,Deployment"
niden/actions-memcached,Container CI,"Continuous integration,Utilities"
yinlinchen/amplify-preview-actions,"Code review,Continuous integration","Deployment,Continuous integration"
fudan-mse/latex-action,"Testing,Continuous integration","Publishing,Deployment"
AndrewMusgrave/automatic-pull-request-review,"Code review,Open Source management","Project management,Code review"
Gottox/irc-message-action,"Chat,Continuous integration","Chat,Reporting"
actionshub/chef-delivery,"Code quality,Continuous integration","Continuous integration,Dependency management"
pullreminders/slack-action,"Chat,Continuous integration","Chat,Reporting"
ThomasKliszowski/setup-kubectl,"Continuous integration,Deployment","Continuous integration,Container CI"
cicirello/jacoco-badge-generator,"Testing,Utilities","Code quality,Testing"
nanasess/setup-chromedriver,"Testing,Continuous integration","Continuous integration,Testing"
michaelw90/PHP-Lint,"Code quality,Continuous integration","Code quality,Continuous integration"
gerbal/always-cache,"Dependency management,Utilities","Dependency management,Continuous integration"
Khan/pull-request-workflow-cancel,"Code review,Continuous integration","Utilities,Continuous integration"
step-security/harden-runner,"Security,Monitoring","Security,Monitoring"
mhausenblas/mkdocs-deploy-gh-pages,"Publishing,Deployment","Deployment,Publishing"
mikefarah/yq,"Deployment,Utilities","Container CI,Deployment"
goreleaser/goreleaser-action,"Continuous integration,Utilities","Deployment,Publishing"
MishaKav/pytest-coverage-comment,"Testing,Reporting","Code quality,Testing"
game-ci/unity-test-runner,"Community,Continuous integration","Community,Continuous integration"
Ilshidur/action-discord,"Chat,Desktop tools","Chat,Reporting"
textileio/cloudflare-update-dnslink,"Continuous integration,Deployment","Publishing,Deployment"
codfish/semantic-release-action,"Continuous integration,Deployment","Publishing,Utilities"
paambaati/codeclimate-action,"Code review,Code quality","Code quality,Testing"
aaronbarnaby/create-release-action,"Continuous integration,Utilities","Publishing,Deployment"
Crec0/announce-n-crosspost,"Community,Utilities","Chat,Reporting"
s0/git-publish-subdir-action,"Publishing,Deployment","Deployment,Publishing"
BSFishy/pip-action,Utilities,"Dependency management,Continuous integration"
kentaro-m/auto-assign-action,"Code review,Open Source management","Code review,Project management"
pdm-project/setup-pdm,"Dependency management,Utilities","Continuous integration,Dependency management"
ok-nick/setup-aftman,"Continuous integration,Utilities","Continuous integration,Chat"
fkirc/skip-duplicate-actions,"Testing,Continuous integration","Continuous integration,Utilities"
LoliGothick/rustfmt-check,"Code review,Code quality","Dependency management,Deployment"
ShiftLeftSecurity/scan-action,"Security,Open Source management","Time tracking,Code Scanning Ready"
marcodallasanta/ssh-scp-deploy,"Continuous integration,Deployment","Deployment,Continuous integration"
nashmaniac/create-issue-action,"Support,Project management","Utilities,Project management"
hkusu/apk-info-action,"Reporting,Mobile CI","Utilities,Continuous integration"
crazy-max/ghaction-chocolatey,"Deployment,Utilities","Open Source management,Code Scanning Ready"
technote-space/auto-card-labeler,"Project management,Utilities","Utilities,Project management"
XAMPPRocky/deploy-mdbook,"Publishing,Deployment","Deployment,Publishing"
shogo82148/actions-setup-redis,"Testing,Utilities","Testing,Continuous integration"
